Email Number,Intent Category,Intent Description,Email Body
150,Intent_Lease_Listings_Comparison,"Similar to above, but focuses on lease listings to identify best terms, overlaps, and gaps.","I need a comparison of the ""Gym Space"" lease listings. Focus on ceiling height, existing build-out for locker rooms, and operating hours restrictions."
151,Intent_Lease_Listings_Comparison,"Similar to above, but focuses on lease listings to identify best terms, overlaps, and gaps.","Compare the attached lease listings for ""Data Center Colocation."" Include power density, cooling infrastructure, and connectivity options."
152,Intent_Lease_Listings_Comparison,"Similar to above, but focuses on lease listings to identify best terms, overlaps, and gaps.","Please provide a comparative summary of the ""Gallery Space"" lease listings, focusing on wall space, lighting systems, and any restrictions on art display."
153,Intent_Lease_Listings_Comparison,"Similar to above, but focuses on lease listings to identify best terms, overlaps, and gaps.","Compare the lease offerings for ""Childcare Facility Space."" Look for differences in outdoor play area requirements and licensing support."
154,Intent_Lease_Listings_Comparison,"Similar to above, but focuses on lease listings to identify best terms, overlaps, and gaps.","I'm reviewing lease listings for ""Automotive Service Bay."" Please compare the hoist capacity, waste disposal clauses, and hazardous materials storage."
155,Intent_Lease_Listings_Comparison,"Similar to above, but focuses on lease listings to identify best terms, overlaps, and gaps.","Compare the lease terms for ""Beauty Salon Space."" Highlight differences in plumbing infrastructure, existing styling stations, and ventilation."
156,Intent_Lease_Listings_Comparison,"Similar to above, but focuses on lease listings to identify best terms, overlaps, and gaps.","Could you compare the lease listings for ""Community Center Space"" regarding event capacity, kitchen facilities, and accessibility features?"
157,Intent_Lease_Listings_Comparison,"Similar to above, but focuses on lease listings to identify best terms, overlaps, and gaps.","Please analyze the ""Cafeteria Space"" lease listings. Focus on existing kitchen equipment, seating capacity, and grease trap requirements."
158,Intent_Lease_Listings_Comparison,"Similar to above, but focuses on lease listings to identify best terms, overlaps, and gaps.","Compare the lease proposals for ""Bank Branch Location."" Highlight differences in vault specifications, drive-thru access, and security systems."
159,Intent_Lease_Listings_Comparison,"Similar to above, but focuses on lease listings to identify best terms, overlaps, and gaps.","I need a comparison of the ""Pet Grooming Salon"" lease listings. Focus on floor drainage, ventilation, and soundproofing provisions."
160,Intent_Lease_Listings_Comparison,"Similar to above, but focuses on lease listings to identify best terms, overlaps, and gaps.","Compare the attached lease listings for ""Recording Studio Space."" Include soundproofing quality, control room setup, and access to common areas."
